file_name,num_classes,num_methods,num_reflections,num_file_operations,num_network_operations
modules\core\src\main\java\org\apache\synapse\config\xml\ClassMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ClassMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CloneMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\CloneMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ConditionalRouterMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ConditionalRouterMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ConfigurationFactory.java,0,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ConfigurationFactoryAndSerializerFinder.java,1,11,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\ConfigurationSerializer.java,0,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DBLookupMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DBLookupMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DBReportMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DBReportMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DropMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\DropMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EJBMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EJBMediatorSerializer.java,1,3,2,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EnqueueMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EnqueueMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EnrichMediatorFactory.java,1,5,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EnrichMediatorSerializer.java,1,5,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EntryFactory.java,1,4,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\EntrySerializer.java,1,3,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\FaultMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\FaultMediatorSerializer.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\FilterMediatorFactory.java,1,2,0,0,0
modules\core\src\main\java\org\apache\synapse\config\xml\FilterMediatorSerializer.java,1,2,0,0,0
